Zeit,Kapazität (mAh),Spannung (V)
00:23:12,389.51,3.932
00:23:17,389.45,3.935
00:23:22,389.34,3.932
00:23:27,389.22,3.933
00:23:32,389.08,3.931
00:23:38,389.02,3.93
00:23:43,388.91,3.93
00:23:48,388.79,3.929
00:23:53,388.67,3.929
00:23:58,388.59,3.928
00:24:03,388.48,3.927
00:24:08,388.36,3.926
00:24:13,388.24,3.925
00:24:19,388.18,3.926
00:24:24,388.05,3.923
00:24:29,387.93,3.925
00:24:34,387.81,3.922
00:24:39,387.75,3.923
00:24:44,387.62,3.922
00:24:49,387.5,3.922
00:24:54,387.38,3.922
00:24:59,387.32,3.922
00:25:05,387.21,3.921
00:25:10,387.07,3.919
00:25:15,386.95,3.918
00:25:20,386.89,3.918
00:25:25,386.78,3.917
00:25:30,386.64,3.917
00:25:35,386.52,3.915
00:25:40,386.46,3.915
00:25:46,386.35,3.916
00:25:51,386.23,3.913
00:25:56,386.09,3.914
00:26:01,386.04,3.914
00:26:06,385.92,3.912
00:26:11,385.8,3.913
00:26:16,385.66,3.912
00:26:21,385.55,3.911
00:26:26,385.49,3.91
00:26:32,385.37,3.91
00:26:37,385.25,3.909
00:26:42,385.12,3.908
00:26:47,385.06,3.909
00:26:52,384.94,3.908
00:26:57,384.82,3.907
00:27:02,384.69,3.907
00:27:07,384.57,3.907
00:27:13,384.51,3.904
00:27:18,384.39,3.906
00:27:23,384.28,3.904
00:27:28,384.14,3.902
00:27:33,384.02,3.902
00:27:38,383.96,3.902
00:27:43,383.85,3.902
00:27:48,383.71,3.902
00:27:54,383.59,3.9
00:27:59,383.48,3.9
00:28:04,383.42,3.9
00:28:09,383.3,3.9
00:28:14,383.16,3.897
00:28:19,383.05,3.898
00:28:24,382.93,3.896
00:28:29,382.87,3.897
00:28:34,382.73,3.895
00:28:40,382.62,3.896
00:28:45,382.5,3.895
00:28:50,382.38,3.895
00:28:55,382.32,3.894
00:29:00,382.19,3.893
00:29:05,382.07,3.894
00:29:10,381.95,3.893
00:29:15,381.84,3.894
00:29:21,381.76,3.891
00:29:26,381.64,3.891
00:29:31,381.52,3.89
00:29:36,381.41,3.89
00:29:41,381.27,3.89
00:29:46,381.21,3.889
00:29:51,381.09,3.889
00:29:56,380.98,3.889
00:30:01,380.86,3.887
00:30:07,380.72,3.888
00:30:12,380.66,3.888
00:30:17,380.55,3.886
00:30:22,380.43,3.887
00:30:27,380.29,3.885
00:30:32,380.18,3.887
00:30:37,380.12,3.885
00:30:42,380.0,3.885
00:30:48,379.88,3.883
00:30:53,379.75,3.884
00:30:58,379.63,3.884
00:31:03,379.51,3.883
00:31:08,379.45,3.882
00:31:13,379.32,3.882
00:31:18,379.2,3.881
00:31:23,379.08,3.88
00:31:29,378.96,3.881
00:31:34,378.91,3.881
00:31:39,378.77,3.879
00:31:44,378.65,3.88
00:31:49,378.54,3.878
00:31:54,378.42,3.878
00:31:59,378.34,3.878
00:32:04,378.22,3.879
00:32:09,378.11,3.878
00:32:15,377.99,3.875
00:32:20,377.85,3.877
00:32:25,377.79,3.876
00:32:30,377.68,3.876
00:32:35,377.56,3.875
00:32:40,377.44,3.875
00:32:45,377.5,4.107
00:32:50,377.79,4.115
00:32:56,378.05,4.119
00:33:01,378.28,4.124
00:33:06,378.54,4.126
00:33:11,378.71,4.127
00:33:16,378.96,4.129
00:33:21,379.2,4.132
00:33:26,379.39,4.134
00:33:31,379.63,4.134
00:33:36,379.8,4.136
00:33:42,380.06,4.138
00:33:47,380.23,4.137
00:33:52,380.49,4.14
00:33:57,380.66,4.14
00:34:02,380.86,4.141
00:34:07,381.04,4.144
00:34:12,381.21,4.143
00:34:17,381.46,4.145
00:34:23,381.64,4.145
00:34:28,381.84,4.146
00:34:33,382.01,4.147
00:34:38,382.19,4.148
00:34:43,382.38,4.148
00:34:48,382.5,4.148
00:34:53,382.68,4.15
00:34:58,382.87,4.151
00:35:04,383.05,4.153
00:35:09,383.22,4.152
00:35:14,383.36,4.152
00:35:19,383.54,4.154
00:35:24,383.71,4.152
00:35:29,383.91,4.156
00:35:34,384.02,4.154
00:35:39,384.2,4.156
00:35:44,384.34,4.157
00:35:50,384.51,4.157
00:35:55,384.63,4.157
00:36:00,384.82,4.159
00:36:05,384.94,4.16
00:36:10,385.12,4.16
00:36:15,385.25,4.16
00:36:20,385.43,4.159
00:36:25,385.55,4.162
00:36:31,385.74,4.162
00:36:36,385.86,4.161
00:36:41,385.98,4.162
00:36:46,386.09,4.162
00:36:51,386.29,4.163
00:36:56,386.41,4.163
00:37:01,386.52,4.164
00:37:06,386.64,4.165
00:37:11,386.84,4.164
00:37:17,386.95,4.165
00:37:22,387.07,4.164
00:37:27,387.21,4.165
00:37:32,387.32,4.165
00:37:37,387.44,4.168
00:37:42,387.56,4.166
00:37:47,387.7,4.167
00:37:52,387.81,4.166
00:37:58,387.93,4.169
00:38:03,388.05,4.168
00:38:08,388.18,4.169
00:38:13,388.3,4.168
00:38:18,388.42,4.17
00:38:23,388.54,4.171
00:38:28,388.67,4.17
00:38:33,388.79,4.169
00:38:39,388.91,4.17
00:38:44,389.02,4.171
00:38:49,389.16,4.17
00:38:54,389.28,4.172
00:38:59,389.39,4.171
00:39:04,389.51,4.172
00:39:09,389.57,4.171
00:39:14,389.71,4.17
00:39:19,389.82,4.172
00:39:25,389.94,4.174
00:39:30,390.06,4.173
00:39:35,390.2,4.173
00:39:40,390.25,4.173
00:39:45,390.37,4.172
00:39:50,390.49,4.172
00:39:55,390.62,4.173
00:40:00,390.68,4.175
00:40:06,390.8,4.175
00:40:11,390.92,4.175
00:40:16,391.04,4.175
00:40:21,391.11,4.176
00:40:26,391.23,4.175
00:40:31,391.35,4.176
00:40:36,391.46,4.174
00:40:41,391.52,4.176
00:40:46,391.66,4.177
00:40:52,391.78,4.176
00:40:57,391.89,4.177
00:41:02,391.95,4.177
00:41:07,392.09,4.177
00:41:12,392.21,4.177
00:41:17,392.32,4.176
00:41:22,392.38,4.177
00:41:27,392.5,4.177
00:41:33,392.64,4.178
00:41:38,392.7,4.178
00:41:43,392.81,4.179
00:41:48,392.93,4.179
00:41:53,393.07,4.177
00:41:58,393.12,4.177
00:42:03,393.24,4.179
00:42:08,393.36,4.178
00:42:14,393.48,4.18
00:42:19,393.55,4.177
00:42:24,393.67,4.18
00:42:29,393.79,4.178
00:42:34,393.91,4.179
00:42:39,393.96,4.181
00:42:44,394.1,4.181
00:42:49,394.22,4.18
00:42:54,394.28,4.18
00:43:00,394.39,4.18
00:43:05,394.53,4.18
00:43:10,394.65,4.179
00:43:15,394.71,4.18
00:43:20,394.82,4.182
00:43:25,394.94,4.18
00:43:30,395.08,4.181
00:43:35,395.2,4.182
00:43:41,395.25,4.182
00:43:46,395.37,4.182
00:43:51,395.51,4.182
00:43:56,395.62,4.184
00:44:01,395.68,4.184
00:44:06,395.8,4.182
00:44:11,395.92,4.183
00:44:16,396.0,4.183
00:44:21,396.11,4.183
00:44:27,396.23,4.182
00:44:32,396.35,4.183
00:44:37,396.41,4.183
00:44:42,396.54,4.182
00:44:47,396.66,4.182
00:44:52,396.78,4.184
00:44:57,396.84,4.183
00:45:02,396.97,4.184
00:45:08,397.09,4.184
00:45:13,397.21,4.184
00:45:18,397.27,4.183
00:45:23,397.38,4.183
00:45:28,397.52,4.185
00:45:33,397.58,4.184
00:45:38,397.7,4.186
00:45:43,397.81,4.186
00:45:49,397.95,4.185
00:45:54,398.01,4.185
00:45:59,398.12,4.185
00:46:04,398.24,4.186
00:46:09,398.3,4.185
00:46:14,398.44,4.185
00:46:19,398.55,4.187
00:46:24,398.61,4.185
00:46:29,398.73,4.185
00:46:35,398.85,4.185
00:46:40,398.98,4.186
00:46:45,399.04,4.186
00:46:50,399.16,4.185
00:46:55,399.28,4.187
00:47:00,399.34,4.188
00:47:05,399.47,4.187
00:47:10,399.59,4.186
00:47:16,399.65,4.188
00:47:21,399.77,4.186
00:47:26,399.9,4.186
00:47:31,399.96,4.187
00:47:36,400.08,4.187
00:47:41,400.14,4.186
00:47:46,400.25,4.187
00:47:51,400.39,4.187
00:47:56,400.45,4.187
00:48:02,400.57,4.188
00:48:07,400.68,4.188
00:48:12,400.74,4.188
00:48:17,400.88,4.188
00:48:22,400.94,4.187
00:48:27,401.05,4.188
00:48:32,401.17,4.188
00:48:37,401.23,4.189
00:48:43,401.37,4.187
00:48:48,401.48,4.189
00:48:53,401.54,4.189
00:48:58,401.66,4.188
00:49:03,401.72,4.19
00:49:08,401.86,4.189
00:49:13,401.91,4.19
00:49:18,402.03,4.189
00:49:24,402.15,4.189
00:49:29,402.21,4.187
00:49:34,402.34,4.19
00:49:39,402.4,4.187
00:49:44,402.52,4.189
00:49:49,402.58,4.188
00:49:54,402.7,4.189
00:49:59,402.75,4.189
00:50:04,402.89,4.189
00:50:10,402.95,4.19
00:50:15,403.07,4.19
00:50:20,403.18,4.191
00:50:25,403.24,4.19
00:50:30,403.38,4.191
00:50:35,403.44,4.191
00:50:40,403.5,4.192
00:50:45,403.61,4.191
00:50:51,403.67,4.19
00:50:56,403.81,4.191
00:51:01,403.87,4.191
00:51:06,403.98,4.192
00:51:11,404.04,4.191
00:51:16,404.16,4.191
00:51:21,404.22,4.191
00:51:26,404.36,4.192
00:51:31,404.41,4.192
00:51:37,404.53,4.191
00:51:42,404.59,4.192
00:51:47,404.65,4.193
00:51:52,404.79,4.192
00:51:57,404.84,4.192
00:52:02,404.96,4.193
00:52:07,405.02,4.192
00:52:12,405.08,4.193
00:52:18,405.2,4.193
00:52:23,405.27,4.193
00:52:28,405.39,4.193
00:52:33,405.45,4.193
00:52:38,405.51,4.194
00:52:43,405.62,4.192
00:52:48,405.68,4.193
00:52:53,405.76,4.194
00:52:59,405.88,4.193
00:53:04,405.94,4.192
00:53:09,406.0,4.194
00:53:14,406.11,4.193
00:53:19,406.17,4.195
00:53:24,406.25,4.194
00:53:29,406.37,4.193
00:53:34,406.43,4.193
00:53:39,406.48,4.194
00:53:45,406.6,4.195
00:53:50,406.66,4.194
00:53:55,406.74,4.193
00:54:00,406.8,4.195
00:54:05,406.91,4.194
00:54:10,406.97,4.194
00:54:15,407.03,4.194
00:54:20,407.15,4.193
00:54:26,407.23,4.194
00:54:31,407.29,4.194
00:54:36,407.34,4.195
00:54:41,407.46,4.193
00:54:46,407.52,4.194
00:54:51,407.58,4.195
00:54:56,407.64,4.196
00:55:01,407.77,4.197
00:55:06,407.83,4.194
00:55:12,407.89,4.194
00:55:17,407.95,4.194
00:55:22,408.01,4.195
00:55:27,408.12,4.195
00:55:32,408.2,4.195
00:55:37,408.26,4.197
00:55:42,408.32,4.195
00:55:47,408.44,4.195
00:55:53,408.5,4.195
00:55:58,408.55,4.195
00:56:03,408.61,4.195
00:56:08,408.69,4.195
00:56:13,408.75,4.196
00:56:18,408.87,4.196
00:56:23,408.93,4.197
00:56:28,408.98,4.196
00:56:33,409.04,4.197
00:56:39,409.1,4.197
00:56:44,409.18,4.196
00:56:49,409.3,4.197
00:56:54,409.36,4.196
00:56:59,409.41,4.197
00:57:04,409.47,4.197
00:57:09,409.53,4.196
00:57:14,409.59,4.197
00:57:20,409.67,4.199
00:57:25,409.73,4.196
00:57:30,409.84,4.197
00:57:35,409.9,4.197
00:57:40,409.96,4.196
00:57:45,410.02,4.195
00:57:50,410.08,4.197
00:57:55,410.16,4.198
00:58:01,410.21,4.197
00:58:06,410.27,4.195
00:58:11,410.33,4.197
00:58:16,410.39,4.198
00:58:21,410.45,4.197
00:58:26,410.51,4.198
00:58:31,410.57,4.196
00:58:36,410.64,4.195
00:58:41,410.7,4.197
00:58:47,410.82,4.198
00:58:52,410.88,4.199
00:58:57,410.94,4.198
00:59:02,411.0,4.197
00:59:07,411.05,4.198
00:59:12,411.13,4.199
00:59:17,411.19,4.198
00:59:22,411.25,4.197
00:59:28,411.31,4.198
00:59:33,411.37,4.198
00:59:38,411.43,4.199
00:59:43,411.48,4.198
00:59:48,411.54,4.199
00:59:53,411.62,4.199
00:59:58,411.68,4.198
01:00:03,411.74,4.199
01:00:08,411.8,4.199
01:00:14,411.8,4.171
01:00:19,411.8,4.168
01:00:24,411.86,4.166
01:00:29,411.86,4.165
01:00:34,411.86,4.165
01:00:39,411.86,4.164
01:00:44,411.86,4.163
01:00:49,411.86,4.162
01:00:55,411.86,4.162
01:01:00,411.86,4.162
01:01:05,411.86,4.161
01:01:10,411.86,4.161
01:01:15,411.86,4.16
01:01:20,411.86,4.16
01:01:25,411.86,4.159
01:01:30,411.86,4.159
01:01:36,411.86,4.16
01:01:41,411.86,4.159
01:01:46,411.86,4.158
01:01:51,411.86,4.159
01:01:56,411.86,4.157
01:02:01,411.86,4.158
01:02:06,411.86,4.157
01:02:11,411.86,4.157
01:02:16,411.86,4.157
01:02:22,411.86,4.157
01:02:27,411.86,4.156
01:02:32,411.86,4.157
01:02:37,411.86,4.156
01:02:42,411.86,4.157
01:02:47,411.86,4.156
01:02:52,411.86,4.155
01:02:57,411.86,4.156
01:03:03,411.86,4.157
01:03:08,411.86,4.157
01:03:13,411.86,4.155
01:03:18,411.86,4.156
01:03:23,411.86,4.157
01:03:28,411.86,4.156
01:03:33,411.86,4.154
01:03:38,411.86,4.156
01:03:43,411.86,4.155
01:03:49,411.86,4.154
01:03:54,411.86,4.154
01:03:59,411.86,4.155
01:04:04,411.86,4.156
01:04:09,411.86,4.154
01:04:14,411.86,4.155
01:04:19,411.86,4.154
01:04:24,411.86,4.154
01:04:30,411.86,4.156
01:04:35,411.86,4.154
01:04:40,411.86,4.153
01:04:45,411.86,4.154
01:04:50,411.86,4.153
01:04:55,411.86,4.153
01:05:00,411.86,4.154
01:05:05,411.86,4.152
01:05:11,411.86,4.154
01:05:16,411.86,4.152
01:05:21,411.86,4.153
01:05:26,411.86,4.154
01:05:31,411.86,4.153
01:05:36,411.86,4.153
01:05:41,411.86,4.152
01:05:46,411.86,4.153
01:05:51,411.86,4.154
01:05:57,411.86,4.153
01:06:02,411.86,4.151
01:06:07,411.86,4.153
01:06:12,411.86,4.152
